Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
ME,development_type_code,,,,,,,,,,A13: 70.81%
ME,development_type_code,,,,,,,,,,A12: 15.87%
ME,development_type_code,,,,,,,,,,B12: 5.9%
ME,development_type_code,,,,,,,,,,C11: 3.58%
ME,development_type_code,,,,,,,,,,A11: 1.75%
ME,development_type_code,,,,,,,,,,B14: 0.81%
ME,development_type_code,,,,,,,,,,B11: 0.72%
ME,development_type_code,,,,,,,,,,C12: 0.47%
ME,development_type_code,,,,,,,,,,B13: 0.09%
MR,building_footprint,19.16,11911.69,393.19,320.4,487.17,382.45,403.93,318.44,322.58,
MR,storeys_above_ground,1,11,4.14,4.0,1.39,4.11,4.17,4.0,4.0,
MR,length_footprint,4.04,156.26,18.9,17.93,7.25,18.74,19.06,17.82,18.02,
MR,width_footprint,4.04,111.66,18.96,18.16,6.57,18.82,19.11,18.08,18.25,
MR,roof_ridge_height,1.94,40.64,17.68,17.19,4.2,17.59,17.77,17.1,17.3,
MR,eaves_height,0.0,37.95,14.24,14.09,4.49,14.14,14.33,13.95,14.23,
MR,number_roof_surfaces,1,329,4.25,3.0,6.92,4.09,4.4,3.0,3.0,
MR,roof_slope,-0.1,90.0,41.54,48.42,36.39,40.34,42.74,47.05,49.96,
MR,roof_type,,,,,,,,,,3100: 37.38%
MR,roof_type,,,,,,,,,,3200: 26.58%
MR,roof_type,,,,,,,,,,1000: 18.16%
MR,roof_type,,,,,,,,,,3400: 14.95%
MR,roof_type,,,,,,,,,,5000: 1.78%
MR,roof_type,,,,,,,,,,3300: 0.57%
MR,roof_type,,,,,,,,,,3900: 0.2%
MR,roof_type,,,,,,,,,,2100: 0.16%
MR,roof_type,,,,,,,,,,2500: 0.13%
MR,roof_type,,,,,,,,,,3500: 0.06%
MR,roof_type,,,,,,,,,,3700: 0.01%
MR,roof_type,,,,,,,,,,3800: 0.01%
MR,development_type_code,,,,,,,,,,B12: 33.71%
MR,development_type_code,,,,,,,,,,C11: 32.21%
MR,development_type_code,,,,,,,,,,A13: 13.96%
MR,development_type_code,,,,,,,,,,C12: 12.27%
MR,development_type_code,,,,,,,,,,B13: 2.81%
MR,development_type_code,,,,,,,,,,A12: 2.76%
MR,development_type_code,,,,,,,,,,B11: 0.89%
MR,development_type_code,,,,,,,,,,B14: 0.85%
MR,development_type_code,,,,,,,,,,A11: 0.53%
